Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-08-15,Girona,1,0,7,2,2,8,0,1,Vallecano,3,3,16,5,4,17,1,0,A,A,2.24,3.26,3.26,2.2,1.73,2.14,1.68,1.84,1.85,0.0,0.0,10.0,19.0,0
2025-08-15,Villarreal,2,2,25,10,10,10,1,0,Oviedo,0,0,5,4,1,8,2,1,H,H,1.38,4.74,8.11,1.91,2.0,1.84,1.92,1.81,1.88,0.0,0.0,19.0,14.0,2
2025-08-16,Mallorca,0,0,4,1,3,8,4,2,Barcelona,3,2,24,8,6,17,1,0,A,A,6.75,4.74,1.43,1.62,2.35,1.6,2.25,1.83,1.85,0.0,0.0,13.0,6.0,0
2025-08-16,Alaves,2,1,15,4,10,15,0,0,Levante,1,0,7,3,1,13,1,0,H,H,2.19,3.04,3.64,2.7,1.5,2.58,1.47,1.78,1.91,0.0,0.0,4.0,12.0,2
2025-08-16,Valencia,1,0,18,2,8,5,1,0,Sociedad,1,0,13,3,7,11,2,0,D,D,2.55,2.89,3.07,3.05,1.45,2.76,1.41,1.74,2.01,0.0,0.0,16.0,15.0,1
2025-08-17,Celta,0,0,11,3,9,15,3,0,Getafe,2,0,10,3,3,17,2,0,A,D,1.71,3.48,5.25,2.4,1.58,2.36,1.54,1.89,1.8,0.0,0.0,10.0,13.0,0
2025-08-17,Ath Bilbao,3,2,14,3,10,8,0,0,Sevilla,2,0,12,6,1,12,2,0,H,H,1.55,3.91,6.17,2.1,1.74,2.07,1.71,1.91,1.8,0.0,0.0,8.0,15.0,2
2025-08-17,Espanol,2,0,10,5,1,14,3,0,Ath Madrid,1,1,15,4,3,11,3,0,H,A,6.25,3.86,1.55,2.2,1.72,2.14,1.66,1.77,1.94,0.0,0.0,12.0,9.0,2
2025-08-18,Elche,1,0,6,2,1,14,0,0,Betis,1,1,12,4,3,13,1,0,D,A,3.33,3.27,2.17,2.2,1.76,2.08,1.7,1.88,1.76,0.0,0.0,11.0,10.0,1
2025-08-19,Real Madrid,1,0,18,5,7,10,1,0,Osasuna,0,0,2,0,0,12,0,1,H,D,1.2,6.66,13.16,1.52,2.63,1.49,2.56,1.97,1.75,0.0,0.0,13.0,12.0,2
2025-08-22,Betis,1,1,16,5,5,10,2,0,Alaves,0,0,11,5,2,17,3,0,H,H,1.88,3.38,4.37,2.3,1.67,2.23,1.62,1.84,1.91,1.0,3.0,9.0,6.0,2
2025-08-23,Ath Madrid,1,1,13,6,10,14,0,0,Elche,1,1,6,2,2,7,3,0,D,D,1.24,5.74,12.91,1.8,2.05,1.76,2.0,1.96,1.74,0.0,1.0,14.0,10.0,1
2025-08-23,Levante,2,2,8,5,0,10,3,0,Barcelona,3,0,26,10,11,8,1,0,A,H,10.44,6.51,1.24,1.38,3.2,1.35,3.02,1.9,1.79,0.0,3.0,15.0,2.0,0
2025-08-23,Mallorca,1,0,12,4,3,12,3,0,Celta,1,1,8,2,4,12,3,0,D,A,2.94,3.09,2.52,2.43,1.6,2.34,1.55,2.02,1.73,0.0,0.0,20.0,18.0,1
2025-08-24,Osasuna,1,1,16,4,3,14,2,0,Valencia,0,0,4,1,4,13,1,1,H,H,2.36,3.11,3.13,2.48,1.6,2.34,1.55,1.93,1.76,0.0,1.0,17.0,12.0,2
2025-08-24,Sociedad,2,0,15,7,5,16,2,0,Espanol,2,2,14,3,2,18,2,0,D,A,1.81,3.39,4.6,2.43,1.67,2.26,1.59,1.78,1.96,1.0,3.0,12.0,7.0,1
2025-08-24,Villarreal,5,4,19,7,8,8,1,0,Girona,0,0,5,2,1,9,2,0,H,H,1.52,4.28,5.69,1.68,2.25,1.64,2.17,1.81,1.89,3.0,0.0,6.0,19.0,2
2025-08-24,Oviedo,0,0,6,3,1,8,2,0,Real Madrid,3,1,26,10,9,7,1,0,A,A,9.67,5.24,1.3,1.73,2.14,1.7,2.09,1.87,1.88,0.0,3.0,19.0,8.0,0
2025-08-25,Ath Bilbao,1,0,11,4,3,13,0,0,Vallecano,0,0,6,1,6,13,4,0,H,D,1.69,3.55,5.18,2.25,1.67,2.18,1.64,1.84,1.83,3.0,3.0,8.0,6.0,2
2025-08-25,Sevilla,1,1,12,3,5,10,2,0,Getafe,2,1,9,6,3,24,2,0,A,D,2.25,2.99,3.46,2.63,1.5,2.55,1.48,1.82,1.84,0.0,3.0,17.0,7.0,0
2025-08-27,Celta,1,0,14,5,10,13,1,0,Betis,1,1,7,2,4,11,2,0,D,A,2.19,3.48,3.17,1.91,1.96,1.85,1.9,1.84,1.9,1.0,4.0,15.0,7.0,1
2025-08-29,Elche,2,0,16,5,4,14,1,0,Levante,0,0,11,1,2,17,2,0,H,D,2.17,3.19,3.52,2.3,1.64,2.24,1.61,1.79,1.95,2.0,0.0,12.0,17.0,2
2025-08-29,Valencia,3,1,7,4,8,18,2,0,Getafe,0,0,11,1,6,7,0,0,H,H,2.25,2.94,3.63,3.0,1.44,2.83,1.4,1.85,1.89,1.0,6.0,15.0,4.0,2
2025-08-30,Real Madrid,2,2,17,7,4,12,2,0,Mallorca,1,1,9,5,5,7,0,0,H,H,1.18,6.96,14.97,1.57,2.55,1.53,2.39,1.94,1.82,6.0,1.0,3.0,16.0,2
2025-08-30,Alaves,1,1,5,2,1,10,2,0,Ath Madrid,1,1,15,6,6,17,3,0,D,D,4.64,3.55,1.78,2.2,1.73,2.12,1.67,1.75,1.99,3.0,1.0,11.0,15.0,1
2025-08-30,Oviedo,1,1,8,1,1,7,2,0,Sociedad,0,0,18,6,10,18,1,0,H,H,3.47,3.1,2.23,2.6,1.55,2.44,1.52,1.9,1.8,0.0,2.0,19.0,13.0,2
2025-08-30,Girona,0,0,20,5,11,5,0,0,Sevilla,2,1,13,4,3,14,2,0,A,A,2.42,3.29,2.94,2.1,1.8,2.02,1.74,1.68,2.08,0.0,0.0,20.0,18.0,0
