Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2026-01-22,Aldosivi,Defensa y Justicia,0,0,D,NA,NA,NA,NA,2.63,2.73,3.05,0,0,1,9,1
2026-01-22,Banfield,Huracan,1,1,D,NA,NA,NA,NA,2.43,2.71,3.42,0,0,5,15,1
2026-01-22,Union de Santa Fe,Platense,0,0,D,NA,NA,NA,NA,1.97,2.81,4.75,0,0,29,21,1
2026-01-23,Central Cordoba,Gimnasia Mendoza,0,1,A,NA,NA,NA,NA,2.34,2.78,3.44,0,0,12,17,0
2026-01-23,Instituto,Velez Sarsfield,0,1,A,NA,NA,NA,NA,2.72,2.73,2.91,0,0,19,29,0
2026-01-23,San Lorenzo,Lanus,2,3,A,NA,NA,NA,NA,2.71,2.59,3.11,0,0,25,20,0
2026-01-23,Independiente,Estudiantes L.P.,1,1,D,NA,NA,NA,NA,2.44,2.75,3.3,0,0,20,16,1
2026-01-24,Gimnasia L.P.,Racing Club,2,1,H,NA,NA,NA,NA,3.62,3.02,2.14,0,0,19,22,2
2026-01-24,Barracas Central,River Plate,0,1,A,NA,NA,NA,NA,5.08,3.27,1.75,0,0,15,22,0
2026-01-24,Talleres Cordoba,Newells Old Boys,2,1,H,NA,NA,NA,NA,1.82,3.17,4.78,0,0,24,21,2
2026-01-24,Ind. Rivadavia,Atl. Tucuman,2,1,H,NA,NA,NA,NA,1.74,3.25,5.16,0,0,21,16,2
2026-01-25,Rosario Central,Belgrano,1,2,A,NA,NA,NA,NA,1.89,3.1,4.54,0,0,21,17,0
2026-01-25,Boca Juniors,Dep. Riestra,1,0,H,NA,NA,NA,NA,1.6,3.35,6.65,0,0,18,19,2
2026-01-26,Argentinos Jrs,Sarmiento Junin,1,0,H,NA,NA,NA,NA,1.38,4.1,9.31,0,0,18,20,2
2026-01-26,Tigre,Estudiantes Rio Cuarto,2,0,H,NA,NA,NA,NA,1.94,2.95,4.58,0,0,20,19,2
2026-01-26,Platense,Instituto,2,1,H,NA,NA,NA,NA,2.43,2.61,3.57,1,0,18,28,2
2026-01-27,Huracan,Ind. Rivadavia,1,2,A,NA,NA,NA,NA,2.06,2.76,4.4,1,3,15,6,0
2026-01-27,Velez Sarsfield,Talleres Cordoba,2,1,H,NA,NA,NA,NA,2.26,2.77,3.69,3,3,12,7,2
2026-01-27,Gimnasia Mendoza,San Lorenzo,0,1,A,NA,NA,NA,NA,3.63,2.67,2.35,3,0,10,20,0
2026-01-28,Atl. Tucuman,Central Cordoba,0,0,D,NA,NA,NA,NA,2.1,3.07,3.67,0,0,21,26,1
2026-01-28,Newells Old Boys,Independiente,1,1,D,NA,NA,NA,NA,3.45,2.81,2.33,0,1,23,16,1
2026-01-28,Aldosivi,Barracas Central,0,0,D,NA,NA,NA,NA,2.18,2.69,4.1,1,0,17,26,1
2026-01-28,Racing Club,Rosario Central,1,2,A,NA,NA,NA,NA,2.12,3.02,3.71,0,0,25,26,0
2026-01-28,River Plate,Gimnasia L.P.,2,0,H,NA,NA,NA,NA,1.53,3.7,6.54,3,3,10,7,2
2026-01-29,Estudiantes L.P.,Boca Juniors,2,1,H,NA,NA,NA,NA,2.96,2.71,2.73,1,3,18,9,2
2026-01-29,Dep. Riestra,Defensa y Justicia,0,1,A,NA,NA,NA,NA,2.1,2.82,4.11,0,1,26,19,0
